time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-06-14 09:30:00-04:00,MLTrader,a5f9c35803e44d2eba23af9fe5b4555a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,a5f9c35803e44d2eba23af9fe5b4555a,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,92.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,4493ee25db6444b3b6a07e6d71a44fef,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,e2260322957f4692a41c5507e142ce7e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,3a26f02a85a444b4835e6a5fe25fe387,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,6b869ff3a2744a05aa4622d1620b6107,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,3a26f02a85a444b4835e6a5fe25fe387,SPY,sell,market,fill,1,day,0.0,1,stock,544.3300170898438,92.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,6b869ff3a2744a05aa4622d1620b6107,SPY,sell,market,fill,1,gtc,0.0,1,stock,544.3300170898438,46.0,0.0
2024-06-27 09:30:00-04:00,MLTrader,d7c5d6e90f064fd4838924ec96cd6c40,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,MLTrader,d7c5d6e90f064fd4838924ec96cd6c40,SPY,sell,market,fill,1,gtc,0.0,1,stock,545.3699951171875,115.0,0.0
